2-Hydroxy-3-methylbutyric acid:	2hiv
2-Keto-3-methylvaleric acid:	3mop
2-Hydroxyisocaproic acid:	2hxic_L
Benzenepropanoic acid:	pppn
Hexanoic acid:	caproic
Methylglutaric acid:	3mglutr
Decanoic acid:	dca
Malic acid:	mal_L
Lactic acid:	lac_D
2-Deoxy-D-ribose:	drib
Arabinonic acid:	arabt_L
Ribose:	rib_D
3-Hydroxy-3-phenylpropanoic acid:	phlac
Fructose:	fru
Sorbose:	srb_L
Methylgalactoside:	mgal
Tagatose:	tagat_D
Allose:	all_D
Galactaric acid:	galct_D
Mannose:	man
Galactose:	gal
N-Acetyl-D-galactosamine:	acgal
Arabinose (peak 1):	arab_L
Arabinopyranose:	arab_L
Glucose:	glc_D
Glycine:	gly
Glycerol:	glyc
Pentanoic acid:	M03134
Proline:	pro_L
Serine:	ser_L
Threonine:	thr_L
Aspartic acid:	asp_L
Butanoic acid:	but
Benzoic acid:	bz
Nonanoic acid:	C01601
Lauric acid:	ddca
2.3 butanediol:	dtt
Glycolic acid:	glyclt
Palmitic acid:	hdca
Stearic acid:	ocdca
Sebacic acid:	sebacid
Butanedioic acid:	succ
Xylose:	xyl_D
Ribitol:	rbt
Xylitol:	xylt
3-Hydroxyphenylacetic acid:	3hphac
alpha-Ketoisovaleric acid:	3mob
Gluconic acid:	glcn
Glyceric acid:	glyc_R
Propanal:	ppal
Myristic acid:	ttdca
