2-Hydroxy-3-methylbutyric acid:	2hiv
2-Keto-3-methylvaleric acid:	3mop
2-Hydroxyisocaproic acid:	2hxic_L
Benzenepropanoic acid:	pppn
Hexanoic acid:	caproic
Methylglutaric acid:	3mglutr
Aspartic acid:	asp_L
Malic acid:	mal_L
Lactic acid:	lac_D
2-Deoxy-D-ribose:	drib
Arabinonic acid:	arabt_L
Ribose:	rib_D
Lauric acid:	ddca
3-Hydroxy-3-phenylpropanoic acid:	phlac
Fructose:	fru
Sorbose:	srb_L
Methylgalactoside:	mgal
Tagatose:	tagat_D
Allose:	all_D
Galactaric acid:	galct_D
N-Acetyl-D-galactosamine:	acgal
Acetylgalactosamine:	acgal
Galactose:	gal
Xylitol:	xylt
Laurate:	ddca
3-Hydroxyphenylacetic acid:	3hphac
Arabinose (peak 1):	arab_L
Arabinose (peak 2):	arab_L
Glucose:	glc_D
Glycine:	gly
Glycerol:	glyc
Pentanoic acid:	M03134
Mannose:	man
Proline:	pro_L
Serine:	ser_L
Threonine:	thr_L
alpha-Ketoisovaleric acid:	3mob
Butanoic acid:	but
Benzoic acid:	bz
Nonanoic acid:	C01601
Decanoic acid:	dca
2.3 butanediol:	dtt
Gluconic acid:	glcn
Glycolic acid:	glyclt
Palmitic acid:	hdca
Stearic acid:	ocdca
Sebacic acid:	sebacid
Butanedioic acid:	succ
Xylose:	xyl_D
Ribitol:	rbt
Glyceric acid:	glyc_R
Propanal:	ppal
Myristic acid:	ttdca
